brand_name,model_name,condition_name,grade_name,gb_spec_name,colour_name,network_name,count
AASTRA,6865I,Working,Grade B - Good Condition,Not Applicable,Black,Not Applicable,2
AASTRA,6865I,Working,Grade A - Very Good Condition,Not Applicable,Black,Not Applicable,1
ACCESSORIZE,UNIVERSAL 10 INCH TABLET FOLIO CASE - BIRDS BLACK,Brand New,Brand New,Not Applicable,Multicolour,Not Applicable,2
